,iso2,year,sex,age,count
0,AD,1996,M,35-44,4.0
1,AD,1996,M,45-54,1.0
2,AD,1996,F,15-24,1.0
3,AD,1996,F,25-34,1.0
4,AD,1996,F,55-64,1.0
5,AD,1997,M,25-34,1.0
6,AD,1997,M,35-44,2.0
7,AD,1997,M,45-54,2.0
8,AD,1997,M,55-64,1.0
9,AD,1997,M,>65,6.0
10,AD,1997,F,15-24,1.0
11,AD,1997,F,25-34,2.0
12,AD,1997,F,35-44,3.0
13,AD,1997,F,>65,1.0
14,AD,1998,M,35-44,1.0
15,AD,1999,M,35-44,1.0
16,AD,1999,M,45-54,1.0
17,AD,1999,F,35-44,1.0
18,AD,2000,M,25-34,1.0
19,AD,2001,M,35-44,2.0
20,AD,2001,M,45-54,1.0
21,AD,2002,M,35-44,1.0
22,AD,2002,F,15-24,1.0
23,AD,2003,M,35-44,1.0
24,AD,2003,M,45-54,2.0
25,AD,2003,F,15-24,1.0
26,AD,2003,F,25-34,1.0
27,AD,2003,F,35-44,1.0
28,AD,2004,M,35-44,1.0
29,AD,2004,M,45-54,1.0
30,AD,2004,F,25-34,1.0
31,AD,2005,M,25-34,1.0
32,AD,2005,M,35-44,1.0
33,AD,2005,F,15-24,1.0
34,AD,2005,F,25-34,1.0
35,AD,2005,F,35-44,1.0
36,AD,2006,M,15-24,1.0
37,AD,2006,M,25-34,1.0
38,AD,2006,M,35-44,2.0
39,AD,2006,M,55-64,1.0
40,AD,2006,M,>65,1.0
41,AD,2006,F,25-34,1.0
42,AD,2006,F,45-54,1.0
43,AD,2007,F,25-34,1.0
44,AD,2007,F,45-54,1.0
45,AD,2008,M,45-54,1.0
46,AD,2008,F,35-44,1.0
47,AD,2008,F,45-54,1.0
48,AE,1999,M,<14,4.0
49,AE,1999,M,15-24,9.0
50,AE,1999,M,25-34,3.0
51,AE,1999,M,35-44,2.0
52,AE,1999,M,45-54,4.0
53,AE,1999,M,55-64,6.0
54,AE,1999,M,>65,5.0
55,AE,1999,F,<14,9.0
56,AE,1999,F,15-24,11.0
57,AE,1999,F,25-34,5.0
58,AE,1999,F,35-44,3.0
59,AE,1999,F,55-64,3.0
60,AE,1999,F,>65,2.0
61,AE,2000,M,<14,2.0
62,AE,2000,M,15-24,4.0
63,AE,2000,M,25-34,4.0
64,AE,2000,M,35-44,6.0
65,AE,2000,M,45-54,5.0
66,AE,2000,M,55-64,12.0
67,AE,2000,M,>65,10.0
68,AE,2000,F,<14,3.0
69,AE,2000,F,15-24,16.0
70,AE,2000,F,25-34,1.0
71,AE,2000,F,35-44,3.0
72,AE,2000,F,>65,4.0
73,AE,2002,M,<14,1.0
74,AE,2002,M,15-24,2.0
75,AE,2002,M,35-44,6.0
76,AE,2002,M,45-54,6.0
77,AE,2002,M,55-64,10.0
78,AE,2002,F,<14,3.0
79,AE,2002,F,15-24,3.0
80,AE,2002,F,25-34,8.0
81,AE,2002,F,35-44,3.0
82,AE,2002,F,45-54,4.0
83,AE,2002,F,55-64,10.0
84,AE,2002,F,>65,1.0
85,AE,2003,M,<14,2.0
86,AE,2003,M,15-24,10.0
87,AE,2003,M,25-34,8.0
88,AE,2003,M,35-44,12.0
89,AE,2003,M,45-54,3.0
90,AE,2003,M,55-64,2.0
91,AE,2003,M,>65,10.0
92,AE,2003,F,<14,4.0
93,AE,2003,F,15-24,9.0
94,AE,2003,F,25-34,5.0
95,AE,2003,F,35-44,3.0
96,AE,2003,F,45-54,3.0
97,AE,2003,F,55-64,2.0
98,AE,2003,F,>65,4.0
99,AE,2004,M,<14,1.0
100,AE,2004,M,15-24,7.0
101,AE,2004,M,25-34,6.0
102,AE,2004,M,35-44,7.0
103,AE,2004,M,45-54,3.0
104,AE,2004,M,55-64,1.0
105,AE,2004,M,>65,7.0
106,AE,2004,F,<14,3.0
107,AE,2004,F,15-24,6.0
108,AE,2004,F,25-34,2.0
109,AE,2004,F,35-44,7.0
110,AE,2004,F,45-54,2.0
